id,pos,speed,delay
1,1922,50,
6,2046,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2973,50,
6,1000,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2982,50,
6,1000,50,
2,2483,50,
7,1692,50,
3,1194,50,
8,0,50,
4,512,50,
9,341,50,
,,,3
1,2982,50,
6,1000,50,
2,2483,50,
7,1692,50,
3,1194,50,
8,0,50,
4,400,50,
9,341,50,
,,,0.75
1,2982,50,
6,1000,50,
2,2483,50,
7,1692,50,
3,1194,50,
8,0,50,
4,512,50,
9,341,50,
,,,0.75
1,2982,50,
6,1000,50,
2,2483,50,
7,1692,50,
3,1194,50,
8,0,50,
4,400,50,
9,341,50,
,,,0.75
1,2982,50,
6,1000,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
